ID,Country of Origin,Altitude,Region,Number of Bags,Bag Weight,Harvest Year,Grading Date,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Moisture Percentage,Balance,Overall,Total Cup Points (TO BE RECALCULATED),Category One Defects,Category Two Defects
88,Honduras,1800,"San Andrés, Lempira",16,30 kg,2021 / 2022,"November 15th, 2022",Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,9.4,7.67,7.67,84,0,0
89,"Tanzania, United Republic Of",1600-1750,ARUSHA,200,60 kg,2022 / 2023,"January 3rd, 2023",Washed / Wet,7.58,7.67,7.75,7.75,7.75,9.8,7.75,7.75,84,0,3
90,Ethiopia,1800,Sidama,300,60 kg,2021 / 2022,"November 18th, 2022",Washed / Wet,8,7.75,7.5,7.67,7.67,11.3,7.67,7.75,84,1,1
91,"Tanzania, United Republic Of",1400-1700,KILIMANJARO,320,60 kg,2022 / 2023,"November 21st, 2022",Washed / Wet,7.75,7.58,7.58,7.92,7.67,11.6,7.75,7.75,84,0,2
92,Colombia,1400-1700,Huila,275,70 kg,2022,"July 27th, 2022",Washed / Wet,7.67,7.83,7.58,7.92,7.67,13.3,7.67,7.67,84,0,3
93,Costa Rica,1850,Tarrazu,250,35 kg,2022 / 2023,"April 19th, 2023",Washed / Wet,7.67,7.92,7.58,7.75,7.67,9.5,7.58,7.75,83.92,0,2
94,Guatemala,1900,New Oriente,1,15 kg,2021,"November 15th, 2022",Natural / Dry,7.83,7.83,7.58,7.67,7.67,11.9,7.58,7.75,83.92,0,0
95,Guatemala,1600,Atitlán,35,30 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.58,7.83,7.58,7.75,7.67,10,7.75,7.75,83.92,0,2
96,Thailand,1300-1400,Nan,1,30 kg,2022,"September 21st, 2022",Natural / Dry,7.75,7.67,7.58,7.75,7.75,11.6,7.67,7.75,83.92,0,3
97,Colombia,1411,Pereira,375,70 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.67,7.75,7.67,7.75,7.67,11.9,7.67,7.67,83.83,0,1
98,Guatemala,1400,HUEHUETENANGO,600,30 kg,2021 / 2022,"May 13th, 2022",Natural / Dry,7.58,7.83,7.67,7.67,7.67,10.8,7.67,7.75,83.83,0,4
99,Guatemala,4895 A 5650,ANTIGUA GUATEMALA,635,30 kg,2021 / 2022,"May 19th, 2022",Washed / Wet,7.58,7.92,7.5,7.67,7.75,10.9,7.67,7.75,83.83,0,4
100,Ethiopia,2000,Sidama,100,60 kg,2021 / 2022,"September 9th, 2022",Washed / Wet,7.83,7.67,7.5,7.92,7.5,12,7.67,7.75,83.83,0,12
101,Colombia,1700,Cauca,285,70 kg,2022 / 2023,"February 22nd, 2023",Washed / Wet,7.92,7.75,7.42,7.58,7.92,12.1,7.67,7.58,83.83,2,5
102,United States (Hawaii),400-600,Ka'u,4,15 kg,2022,"November 15th, 2022",Washed / Wet,7.67,7.92,7.58,7.58,7.58,11.8,7.75,7.75,83.83,0,3
103,Colombia,1800,Tolima,40,35 kg,2022,"November 15th, 2022",Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,10.6,7.67,7.58,83.75,0,1
104,Mexico,1200,Chiapas,600,30 kg,2022 / 2023,"April 5th, 2023",Washed / Wet,7.67,7.67,7.58,7.67,7.83,11.7,7.58,7.75,83.75,4,12
